Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_016027855.1	Atlantibacter hermannii	565	FDAARGOS_888	Complete Genome	haploid	1
GCF_030166395.1	Atlantibacter hermannii	565	TL13	Complete Genome	haploid	2
GCF_040369615.1	Atlantibacter hermannii	565	VNF293	Complete Genome	haploid	4
GCF_024224615.1	Atlantibacter subterranea	255519	LH84-a	Complete Genome	haploid	3
GCF_018128285.1	Atopobium sp. oral taxon 416	712157	W9116	Complete Genome	haploid	1
GCF_015775515.1	Atribacter laminatus	2847778	RT761	Complete Genome	haploid	1
GCF_001077815.2	Aurantiacibacter atlanticus	1648404	s21-N3	Complete Genome	haploid	2
GCF_001886695.1	Aurantiacibacter gangjinensis	502682	JCM 15420	Complete Genome	haploid	2
GCF_026967575.1	Aurantiacibacter sp. MUD11	3003265	MUD11	Complete Genome	haploid	1
GCF_027912455.1	Aurantiacibacter sp. MUD61	3009083	MUD61	Complete Genome	haploid	1
GCF_029625215.1	Aurantibacillus circumpalustris	3036359	Swamp196	Complete Genome	haploid	1
GCF_002355535.1	Aurantimicrobium minutum	708131	KNC	Complete Genome	haploid	1
GCF_003194085.1	Aurantimicrobium photophilum	1987356	MWH-Mo1	Complete Genome	haploid	1
GCF_027924525.1	Aurantimicrobium sp. INA4	2986279	INA4	Complete Genome	haploid	1
GCF_003325955.1	Aurantimicrobium sp. MWH-Uga1	2079575	MWH-Uga1	Complete Genome	haploid	1
GCF_021391535.1	Aurantimonas sp. HBX-1	2906072	HBX-1	Complete Genome	haploid	1
GCF_036492635.1	Aureibacter tunicatorum	866807	NBRC 107587	Complete Genome	haploid	9
GCF_006065315.1	Aureibaculum algae	2584122	10Alg 115	Complete Genome	haploid	1
GCF_021228915.1	Aureimonas altamirensis	370622	C2P003	Complete Genome	haploid	1
GCF_014058705.1	Aureimonas mangrovi	2758041	LMG 31693	Complete Genome	haploid	1
GCF_017815515.1	Aureimonas populi	1701758	KCTC 42087	Complete Genome	haploid	1
GCF_001442755.1	Aureimonas sp. AU20	1349819	AU20	Complete Genome	haploid	9
GCF_014844055.1	Aureimonas sp. OT7	2816454	OT7	Complete Genome	haploid	1
GCF_019973775.1	Aureimonas sp. SA4125	2826993	SA4125	Complete Genome	haploid	2
GCF_026000115.1	Aureispira anguillae	2864201	EL160426	Complete Genome	haploid	3
GCF_031326345.1	Aureispira sp. CCB-E	3051121	CCB-E	Complete Genome	haploid	2
GCF_007752135.1	Aureliella helgolandensis	2527968	Q31a	Complete Genome	haploid	1
GCF_029853775.1	Auritidibacter ignavus	678932	BABAE-4	Complete Genome	haploid	1
GCF_029853715.1	Auritidibacter ignavus	678932	BABAE-1	Complete Genome	haploid	1
GCF_029853735.1	Auritidibacter ignavus	678932	BABAE-2	Complete Genome	haploid	1
GCF_029853755.1	Auritidibacter ignavus	678932	BABAE-3	Complete Genome	haploid	1
GCF_029853795.1	Auritidibacter ignavus	678932	BABAE-5	Complete Genome	haploid	1
GCF_029853815.1	Auritidibacter ignavus	678932	BABAE-6	Complete Genome	haploid	1
GCF_030063925.1	Auritidibacter ignavus	678932	BABAE-8	Complete Genome	haploid	1
GCF_030063945.1	Auritidibacter ignavus	678932	BABAE-7	Complete Genome	haploid	1
GCF_003185725.2	Auritidibacter sp. NML130574	2170745	NML130574	Complete Genome	haploid	1
GCF_003391095.1	Austwickia chelonae	100225	LK16-18	Complete Genome	haploid	2
GCF_011765605.1	Avibacterium paragallinarum	728	ESV-135	Complete Genome	haploid	1
GCF_000969315.2	Avibacterium paragallinarum	728	AVPG2015	Complete Genome	haploid	1
GCF_003864155.1	Avibacterium paragallinarum	728	FARPER-174	Complete Genome	haploid	1
GCF_012849875.1	Avibacterium paragallinarum	728	ADL-AP17	Complete Genome	haploid	1
GCF_012850075.1	Avibacterium paragallinarum	728	ADL-AP16	Complete Genome	haploid	1
GCF_012850275.1	Avibacterium paragallinarum	728	ADL-AP15	Complete Genome	haploid	1
GCF_012850455.1	Avibacterium paragallinarum	728	ADL-AP10	Complete Genome	haploid	1
GCF_012850655.1	Avibacterium paragallinarum	728	ADL-AP07	Complete Genome	haploid	1
GCF_012850815.1	Avibacterium paragallinarum	728	ADL-AP02	Complete Genome	haploid	1
GCF_012850955.1	Avibacterium paragallinarum	728	ADL-AP01	Complete Genome	haploid	1
GCF_019822885.1	Avibacterium paragallinarum	728	p4chr1	Complete Genome	haploid	1
GCF_022964995.1	Avibacterium paragallinarum	728	ZJ-C	Complete Genome	haploid	1
GCF_025884415.1	Avibacterium paragallinarum	728	AP-2	Complete Genome	haploid	1
GCF_025884555.1	Avibacterium paragallinarum	728	AG21-0333	Complete Genome	haploid	3
GCF_023611925.1	Avibacterium sp. 20-132	2911526	20-132	Complete Genome	haploid	1
GCF_900635775.1	Avibacterium volantium	762	NCTC3438	Complete Genome	haploid	1
GCF_001682385.1	Azoarcus olearius	418699	DQS-4	Complete Genome	haploid	1
GCF_000061505.1	Azoarcus olearius	418699	BH72	Complete Genome	haploid	1
GCF_001190925.1	Azoarcus sp. CIB	198107	CIB	Complete Genome	haploid	1
GCF_006496635.1	Azoarcus sp. DD4	2027405	DD4	Complete Genome	haploid	1
GCF_003628555.1	Azoarcus sp. DN11	356837	DN11	Complete Genome	haploid	1
GCF_000349945.1	Azoarcus sp. KH32C	748247	KH32C	Complete Genome	haploid	2
GCF_038368255.1	Azonexus hydrophilus	418702	NCP973	Complete Genome	haploid	3
GCF_000010525.1	Azorhizobium caulinodans ORS 571	438753	ORS 571	Complete Genome	haploid	1
GCF_018905915.1	Azospira inquinata	2785627	Azo-3	Complete Genome	haploid	1
GCF_018906035.1	Azospira inquinata	2785627	Azo-2	Complete Genome	haploid	1
GCF_000236665.1	Azospira oryzae PS	640081	PS	Complete Genome	haploid	1
GCF_016858125.1	Azospira restricta	404405	DSM 18626	Complete Genome	haploid	1
GCF_009177135.1	Azospira sp. I09	1765049	I09	Complete Genome	haploid	2
GCF_000632475.1	Azospirillum argentinense	2970906	Az39	Complete Genome	haploid	6
GCF_005222165.1	Azospirillum argentinense	2970906	MTCC4035	Complete Genome	haploid	8
GCF_001315015.1	Azospirillum brasilense	192	Sp 7	Complete Genome	haploid	6
GCF_005222145.1	Azospirillum brasilense	192	MTCC4038	Complete Genome	haploid	6
GCF_005222205.1	Azospirillum brasilense	192	MTCC4039	Complete Genome	haploid	6
GCF_008274945.1	Azospirillum brasilense	192	Sp 7	Complete Genome	haploid	6
GCF_008274965.1	Azospirillum brasilense	192	Cd	Complete Genome	haploid	6
GCF_022023855.1	Azospirillum brasilense	192	2020WEIHUA_K	Complete Genome	haploid	8
GCF_040500525.1	Azospirillum formosense	861533	UWAZO-1	Complete Genome	haploid	6
GCF_000283655.1	Azospirillum lipoferum 4B	862719	4B	Complete Genome	haploid	7
GCF_013347285.1	Azospirillum oryzae	286727	KACC 14407	Complete Genome	haploid	8
GCF_003233655.1	Azospirillum ramasamyi	682998	M2T2B2	Complete Genome	haploid	8
GCF_000010725.1	Azospirillum sp. B510	137722	B510	Complete Genome	haploid	7
GCF_004923315.1	Azospirillum sp. TSA2s	709810	TSA2S	Complete Genome	haploid	10
GCF_004923295.1	Azospirillum sp. TSH100	652764	TSH100	Complete Genome	haploid	8
GCF_003119115.1	Azospirillum sp. TSH58	664962	TSH58	Complete Genome	haploid	7
GCF_003130795.1	Azospirillum thermophilum	2202148	CFH 70021	Complete Genome	haploid	9
GCF_001305595.1	Azospirillum thiophilum	528244	BV-S	Complete Genome	haploid	8
GCF_002220155.1	Azotobacter chroococcum	353	B3	Complete Genome	haploid	4
GCF_016406165.1	Azotobacter chroococcum	353	HR1	Complete Genome	haploid	5
GCF_000817975.1	Azotobacter chroococcum NCIMB 8003	1328314	NCIMB 8003	Complete Genome	haploid	7
GCF_009363155.1	Azotobacter salinestris	69964	KACC 13899	Complete Genome	haploid	3
GCF_038732075.1	Azotobacter sp. NL3	3083257	NL3	Complete Genome	haploid	1
GCF_030506185.1	Azotobacter vinelandii	354	AEIV	Complete Genome	haploid	1
GCF_000380335.1	Azotobacter vinelandii CA	1283330		Complete Genome	haploid	1
GCF_000380365.1	Azotobacter vinelandii CA6	1283331		Complete Genome	haploid	1
GCF_000021045.1	Azotobacter vinelandii DJ	322710	DJ; ATCC BAA-1303	Complete Genome	haploid	1
GCF_036687365.1	Azotobacter vinelandii DJ	322710	DJ	Complete Genome	haploid	2
GCF_036687375.1	Azotobacter vinelandii DJ	322710	DJ	Complete Genome	haploid	1
GCF_031199195.1	Bacillus aerius	293388	NEB1378	Complete Genome	haploid	1
GCF_030292135.1	Bacillus albus	2026189	SXL388	Complete Genome	haploid	3
GCF_009740005.1	Bacillus albus	2026189	DLOU-Yingkou	Complete Genome	haploid	3
GCF_036287315.1	Bacillus albus	2026189	YK87	Complete Genome	haploid	4
GCF_001191605.1	Bacillus altitudinis	293387	GR-8	Complete Genome	haploid	2
GCF_000299555.2	Bacillus altitudinis	293387	BA06	Complete Genome	haploid	1
GCF_000972685.1	Bacillus altitudinis	293387	W3	Complete Genome	haploid	1
GCF_001431145.1	Bacillus altitudinis	293387	NJ-M2	Complete Genome	haploid	1
GCF_001431785.1	Bacillus altitudinis	293387	NJ-V2	Complete Genome	haploid	1
GCF_001700735.1	Bacillus altitudinis	293387	NJ-V	Complete Genome	haploid	1
GCF_001908475.1	Bacillus altitudinis	293387	GLB197	Complete Genome	haploid	2
GCF_002443015.2	Bacillus altitudinis	293387	SGAir0031	Complete Genome	haploid	2
GCF_002741745.1	Bacillus altitudinis	293387	P-10	Complete Genome	haploid	1
GCF_004563755.2	Bacillus altitudinis	293387	CHB19	Complete Genome	haploid	1
GCF_005849435.1	Bacillus altitudinis	293387	GQYP101	Complete Genome	haploid	2
GCF_006007905.1	Bacillus altitudinis	293387	HQ-51-Ba	Complete Genome	haploid	3
GCF_013283915.1	Bacillus altitudinis	293387	11-1-1	Complete Genome	haploid	1
GCF_013307105.1	Bacillus altitudinis	293387	SCU11	Complete Genome	haploid	1
GCF_015160895.1	Bacillus altitudinis	293387	BIM B-263	Complete Genome	haploid	1
GCF_015689015.1	Bacillus altitudinis	293387	Ba1449	Complete Genome	haploid	1
GCF_016767855.1	Bacillus altitudinis	293387	ws31	Complete Genome	haploid	1
GCF_016807685.1	Bacillus altitudinis	293387	63-2-2	Complete Genome	haploid	2
GCF_017161205.1	Bacillus altitudinis	293387	1817	Complete Genome	haploid	1
GCF_017948365.1	Bacillus altitudinis	293387	6ww6	Complete Genome	haploid	1
GCF_019164215.1	Bacillus altitudinis	293387	LZP 02	Complete Genome	haploid	1
GCF_019355135.1	Bacillus altitudinis	293387	SCU11	Complete Genome	haploid	1
GCF_021654595.1	Bacillus altitudinis	293387	TM2	Complete Genome	haploid	2
GCF_021654615.1	Bacillus altitudinis	293387	NC3	Complete Genome	haploid	1
GCF_022570695.1	Bacillus altitudinis	293387	JYY-02	Complete Genome	haploid	1
GCF_022700755.1	Bacillus altitudinis	293387	N435-3	Complete Genome	haploid	1
GCF_023823755.1	Bacillus altitudinis	293387	CMF5	Complete Genome	haploid	1
GCF_024362715.1	Bacillus altitudinis	293387	HM-7	Complete Genome	haploid	1
GCF_024380035.1	Bacillus altitudinis	293387	B12	Complete Genome	haploid	2
GCF_024397295.1	Bacillus altitudinis	293387	47	Complete Genome	haploid	1
GCF_024507855.1	Bacillus altitudinis	293387	BDGP7	Complete Genome	haploid	2
GCF_029537175.1	Bacillus altitudinis	293387	DSM 103869	Complete Genome	haploid	3
GCF_030011555.1	Bacillus altitudinis	293387	Sample7_7	Complete Genome	haploid	2
GCF_030122945.1	Bacillus altitudinis	293387	CES-OCA-19	Complete Genome	haploid	1
GCF_030123125.1	Bacillus altitudinis	293387	G6S2	Complete Genome	haploid	1
GCF_030166595.1	Bacillus altitudinis	293387	KRS010	Complete Genome	haploid	1
GCF_030291995.1	Bacillus altitudinis	293387	D9_B_49	Complete Genome	haploid	2
GCF_030645085.1	Bacillus altitudinis	293387	28M1-1	Complete Genome	haploid	1
GCF_032928595.1	Bacillus altitudinis	293387	RS1	Complete Genome	haploid	2
GCF_034479815.1	Bacillus altitudinis	293387	F7	Complete Genome	haploid	1
GCF_035580465.1	Bacillus altitudinis	293387	ECC22	Complete Genome	haploid	1
GCF_037094765.1	Bacillus altitudinis	293387	JJ61	Complete Genome	haploid	1
GCF_037094775.1	Bacillus altitudinis	293387	JJ1138	Complete Genome	haploid	1
GCF_039624015.1	Bacillus altitudinis	293387	NCCP	Complete Genome	haploid	4
GCF_039671235.1	Bacillus altitudinis	293387	TN5S8	Complete Genome	haploid	1
GCF_040208295.1	Bacillus altitudinis	293387	SCu11	Complete Genome	haploid	2
GCF_019396925.1	Bacillus amyloliquefaciens	1390	GKT04	Complete Genome	haploid	2
GCF_001483885.1	Bacillus amyloliquefaciens	1390	MBE1283	Complete Genome	haploid	2
GCF_001586105.1	Bacillus amyloliquefaciens	1390	S499	Complete Genome	haploid	2
GCF_001596755.1	Bacillus amyloliquefaciens	1390	B15	Complete Genome	haploid	1
GCF_001705195.1	Bacillus amyloliquefaciens	1390	RD7-7	Complete Genome	haploid	1
GCF_001874385.1	Bacillus amyloliquefaciens	1390	Y14	Complete Genome	haploid	1
GCF_001889285.1	Bacillus amyloliquefaciens	1390	LM2303	Complete Genome	haploid	1
GCF_001922005.1	Bacillus amyloliquefaciens	1390	WS-8	Complete Genome	haploid	1
GCF_002173635.1	Bacillus amyloliquefaciens	1390	SRCM101267	Complete Genome	haploid	2
GCF_002209305.1	Bacillus amyloliquefaciens	1390	MT45	Complete Genome	haploid	1
GCF_003149695.1	Bacillus amyloliquefaciens	1390	ALB69	Complete Genome	haploid	1
GCF_003149715.1	Bacillus amyloliquefaciens	1390	ALB65	Complete Genome	haploid	1
GCF_003149795.1	Bacillus amyloliquefaciens	1390	ALB79	Complete Genome	haploid	1
GCF_003312895.1	Bacillus amyloliquefaciens	1390	SH-B74	Complete Genome	haploid	2
GCF_003868675.1	Bacillus amyloliquefaciens	1390	YP6	Complete Genome	haploid	1
GCF_004006115.1	Bacillus amyloliquefaciens	1390	HK1	Complete Genome	haploid	1
GCF_004421045.1	Bacillus amyloliquefaciens	1390	FS1092	Complete Genome	haploid	1
GCF_007362635.1	Bacillus amyloliquefaciens	1390	ZJU1	Complete Genome	haploid	1
GCF_007827165.1	Bacillus amyloliquefaciens	1390	H	Complete Genome	haploid	1
GCF_007923205.1	Bacillus amyloliquefaciens	1390	X030	Complete Genome	haploid	1
GCF_008534375.1	Bacillus amyloliquefaciens	1390	DH8030	Complete Genome	haploid	1
GCF_008808015.1	Bacillus amyloliquefaciens	1390	V167	Complete Genome	haploid	1
GCF_008824205.1	Bacillus amyloliquefaciens	1390	KC41	Complete Genome	haploid	1
GCF_013122255.1	Bacillus amyloliquefaciens	1390	WF02	Complete Genome	haploid	1
GCF_013328835.1	Bacillus amyloliquefaciens	1390	205	Complete Genome	haploid	1
GCF_013341255.1	Bacillus amyloliquefaciens	1390	R8-25	Complete Genome	haploid	2
GCF_014622745.1	Bacillus amyloliquefaciens	1390	T-5	Complete Genome	haploid	1
GCF_014791945.1	Bacillus amyloliquefaciens	1390	INH2-4b	Complete Genome	haploid	1
GCF_014792065.1	Bacillus amyloliquefaciens	1390	MOH1-5b	Complete Genome	haploid	1
GCF_014854735.1	Bacillus amyloliquefaciens	1390	HM618	Complete Genome	haploid	2
GCF_014930895.1	Bacillus amyloliquefaciens	1390	PP19	Complete Genome	haploid	1
GCF_015999565.1	Bacillus amyloliquefaciens	1390	DGL1	Complete Genome	haploid	1
GCF_017357905.1	Bacillus amyloliquefaciens	1390	GXU-1	Complete Genome	haploid	1
GCF_017603845.1	Bacillus amyloliquefaciens	1390	XJ5	Complete Genome	haploid	3
GCF_017815555.1	Bacillus amyloliquefaciens	1390	G10	Complete Genome	haploid	1
GCF_018223605.1	Bacillus amyloliquefaciens	1390	Ba13	Complete Genome	haploid	1
GCF_018363035.1	Bacillus amyloliquefaciens	1390	L-17	Complete Genome	haploid	1
GCF_018502525.1	Bacillus amyloliquefaciens	1390	SN16-1	Complete Genome	haploid	1
GCF_019856555.1	Bacillus amyloliquefaciens	1390	JP3042	Complete Genome	haploid	1
GCF_019880285.1	Bacillus amyloliquefaciens	1390	35M	Complete Genome	haploid	1
GCF_019880325.1	Bacillus amyloliquefaciens	1390	Bam1	Complete Genome	haploid	1
GCF_019880425.1	Bacillus amyloliquefaciens	1390	JP3144	Complete Genome	haploid	1
GCF_020311635.1	Bacillus amyloliquefaciens	1390		Complete Genome	haploid	1
GCF_020971785.1	Bacillus amyloliquefaciens	1390	ZF57	Complete Genome	haploid	1
GCF_021233135.1	Bacillus amyloliquefaciens	1390	LS1-002-014s	Complete Genome	haploid	2
GCF_022492915.1	Bacillus amyloliquefaciens	1390	WF2020	Complete Genome	haploid	1
GCF_022559645.1	Bacillus amyloliquefaciens	1390	ZKY01	Complete Genome	haploid	1
GCF_022833015.1	Bacillus amyloliquefaciens	1390	W0101	Complete Genome	haploid	1
GCF_023115375.1	Bacillus amyloliquefaciens	1390	GL18	Complete Genome	haploid	1
GCF_023238285.1	Bacillus amyloliquefaciens	1390	A15.1	Complete Genome	haploid	1
GCF_023278425.1	Bacillus amyloliquefaciens	1390	CQN-2	Complete Genome	haploid	2
GCF_023920185.1	Bacillus amyloliquefaciens	1390	TL106	Complete Genome	haploid	2
GCF_024138555.1	Bacillus amyloliquefaciens	1390	TPS17	Complete Genome	haploid	1
GCF_024452365.1	Bacillus amyloliquefaciens	1390	B408	Complete Genome	haploid	1
GCF_024584765.1	Bacillus amyloliquefaciens	1390	CAS02	Complete Genome	haploid	2
GCF_026684155.1	Bacillus amyloliquefaciens	1390	WH1	Complete Genome	haploid	1
GCF_027942375.1	Bacillus amyloliquefaciens	1390	SRCM124317	Complete Genome	haploid	1
GCF_029278325.1	Bacillus amyloliquefaciens	1390	MG-2	Complete Genome	haploid	1
GCF_029371985.1	Bacillus amyloliquefaciens	1390	MBLB0692	Complete Genome	haploid	1
GCF_029866505.1	Bacillus amyloliquefaciens	1390	MN-13	Complete Genome	haploid	1
GCF_030220145.1	Bacillus amyloliquefaciens	1390	GZY63	Complete Genome	haploid	1
GCF_030369895.1	Bacillus amyloliquefaciens	1390	SRCM123364	Complete Genome	haploid	1
GCF_030369915.1	Bacillus amyloliquefaciens	1390	SRCM123386	Complete Genome	haploid	2
GCF_030517795.1	Bacillus amyloliquefaciens	1390	PM415	Complete Genome	haploid	1
GCF_030520205.1	Bacillus amyloliquefaciens	1390	C6.7	Complete Genome	haploid	2
GCF_036347615.1	Bacillus amyloliquefaciens	1390	HX0037	Complete Genome	haploid	1
GCF_036418335.1	Bacillus amyloliquefaciens	1390	Fad 108	Complete Genome	haploid	4
GCF_039619385.1	Bacillus amyloliquefaciens	1390	Fad 11/2	Complete Genome	haploid	2
GCF_039619395.1	Bacillus amyloliquefaciens	1390	Fad 77	Complete Genome	haploid	2
GCF_039619405.1	Bacillus amyloliquefaciens	1390	Fad 97	Complete Genome	haploid	3
GCF_039643455.1	Bacillus amyloliquefaciens	1390	bm 1	Complete Genome	haploid	1
GCF_000494835.1	Bacillus amyloliquefaciens CC178	1412898	CC178	Complete Genome	haploid	1
GCF_000196735.1	Bacillus amyloliquefaciens DSM 7 = ATCC 23350	692420	DSM 7	Complete Genome	haploid	1
GCF_000242855.2	Bacillus amyloliquefaciens IT-45	1091041	IT-45	Complete Genome	haploid	2
GCF_000835145.1	Bacillus amyloliquefaciens KHG19	1292358	KHG19	Complete Genome	haploid	1
GCF_000508265.1	Bacillus amyloliquefaciens LFB112	1415165	LFB112	Complete Genome	haploid	1
GCF_000204275.1	Bacillus amyloliquefaciens LL3	1001582	LL3	Complete Genome	haploid	2
GCF_000195515.1	Bacillus amyloliquefaciens TA208	999891	TA208	Complete Genome	haploid	1
GCF_001593785.1	Bacillus amyloliquefaciens UMAF6614	1434324	UMAF6614	Complete Genome	haploid	1
GCF_001593765.1	Bacillus amyloliquefaciens UMAF6639	1333538	UMAF6639	Complete Genome	haploid	1
GCF_000221645.1	Bacillus amyloliquefaciens XH7	1034836	XH7	Complete Genome	haploid	1
GCF_000534935.2	Bacillus anthracis	1392	CZC5	Complete Genome	haploid	3
GCF_000725325.1	Bacillus anthracis	1392	HYU01	Complete Genome	haploid	3
GCF_000742655.1	Bacillus anthracis	1392	2000031021	Complete Genome	haploid	2
GCF_000832425.1	Bacillus anthracis	1392	PAK-1	Complete Genome	haploid	2
GCF_000832445.1	Bacillus anthracis	1392	Vollum 1B	Complete Genome	haploid	3
GCF_000832465.1	Bacillus anthracis	1392	K3	Complete Genome	haploid	3
GCF_000832505.1	Bacillus anthracis	1392	Ohio ACB	Complete Genome	haploid	3
GCF_000832565.1	Bacillus anthracis	1392	SK-102	Complete Genome	haploid	3
GCF_000832585.1	Bacillus anthracis	1392	Pasteur	Complete Genome	haploid	2
GCF_000832665.1	Bacillus anthracis	1392	BA1015	Complete Genome	haploid	3
GCF_000832725.1	Bacillus anthracis	1392	BA1035	Complete Genome	haploid	3
GCF_000832745.1	Bacillus anthracis	1392	RA3	Complete Genome	haploid	3
GCF_000832965.1	Bacillus anthracis	1392	2002013094	Complete Genome	haploid	3
GCF_000833065.1	Bacillus anthracis	1392	Ames	Complete Genome	haploid	3
GCF_000833125.1	Bacillus anthracis	1392	Canadian Bison	Complete Genome	haploid	3
GCF_000875715.1	Bacillus anthracis	1392	A1144	Complete Genome	haploid	3
GCF_001543225.1	Bacillus anthracis	1392	Stendal	Complete Genome	haploid	3
GCF_001654475.1	Bacillus anthracis	1392	Tangail-1	Complete Genome	haploid	3
GCF_001683065.1	Bacillus anthracis	1392	Parent2	Complete Genome	haploid	1
GCF_001683095.1	Bacillus anthracis	1392	Parent1	Complete Genome	haploid	1
GCF_001683135.1	Bacillus anthracis	1392	PR01	Complete Genome	haploid	1
GCF_001683155.1	Bacillus anthracis	1392	PR02	Complete Genome	haploid	1
GCF_001683175.1	Bacillus anthracis	1392	PR05	Complete Genome	haploid	1
GCF_001683195.1	Bacillus anthracis	1392	PR06	Complete Genome	haploid	1
GCF_001683215.1	Bacillus anthracis	1392	PR07	Complete Genome	haploid	1
GCF_001683235.1	Bacillus anthracis	1392	PR08	Complete Genome	haploid	1
GCF_001683255.1	Bacillus anthracis	1392	PR09-1	Complete Genome	haploid	1
GCF_001683275.1	Bacillus anthracis	1392	PR09-4	Complete Genome	haploid	1
GCF_001683295.1	Bacillus anthracis	1392	PR10-4	Complete Genome	haploid	1
GCF_001936375.1	Bacillus anthracis	1392	Tyrol 4675	Complete Genome	haploid	3
GCF_001990245.1	Bacillus anthracis	1392	SPV842_15	Complete Genome	haploid	2
GCF_002208785.1	Bacillus anthracis	1392	FDAARGOS_341	Complete Genome	haploid	2
GCF_002277915.1	Bacillus anthracis	1392	14RA5914	Complete Genome	haploid	3
GCF_002356575.1	Bacillus anthracis	1392	Shikan-NIID	Complete Genome	haploid	3
GCF_002980615.3	Bacillus anthracis	1392	STI1	Complete Genome	haploid	1
GCF_003227955.1	Bacillus anthracis	1392	London_499	Complete Genome	haploid	3
GCF_003410255.1	Bacillus anthracis	1392	MCCC 1A02161	Complete Genome	haploid	1
GCF_003410355.1	Bacillus anthracis	1392	MCCC 1A01412	Complete Genome	haploid	3
GCF_004328845.1	Bacillus anthracis	1392	HDZK-BYSB7	Complete Genome	haploid	1
GCF_006088855.1	Bacillus anthracis	1392	17OD930	Complete Genome	haploid	3
GCF_006742565.1	Bacillus anthracis	1392	missing	Complete Genome	haploid	3
GCF_009806595.1	Bacillus anthracis	1392	FDAARGOS_698	Complete Genome	haploid	1
GCF_009806615.1	Bacillus anthracis	1392	FDAARGOS_701	Complete Genome	haploid	1
GCF_009806635.1	Bacillus anthracis	1392	FDAARGOS_700	Complete Genome	haploid	5
GCF_009806655.1	Bacillus anthracis	1392	FDAARGOS_706	Complete Genome	haploid	3
GCF_009806675.1	Bacillus anthracis	1392	FDAARGOS_705	Complete Genome	haploid	4
GCF_009806695.1	Bacillus anthracis	1392	FDAARGOS_704	Complete Genome	haploid	1
GCF_019693235.1	Bacillus anthracis	1392	P04210076	Complete Genome	haploid	3
GCF_021390035.1	Bacillus anthracis	1392	BF5	Complete Genome	haploid	3
GCF_022014755.1	Bacillus anthracis	1392	PNO2	Complete Genome	haploid	3
GCF_022014775.1	Bacillus anthracis	1392	PNO2D1	Complete Genome	haploid	2
GCF_022014795.1	Bacillus anthracis	1392	ChBA30D	Complete Genome	haploid	2
GCF_022220505.1	Bacillus anthracis	1392	A182	Complete Genome	haploid	3
GCF_022220525.1	Bacillus anthracis	1392	A29	Complete Genome	haploid	3
GCF_022220545.1	Bacillus anthracis	1392	3016	Complete Genome	haploid	2
GCF_022220565.1	Bacillus anthracis	1392	BUL 40	Complete Genome	haploid	2
GCF_022220585.1	Bacillus anthracis	1392	BUL 19	Complete Genome	haploid	3
GCF_022220605.1	Bacillus anthracis	1392	BUL 31	Complete Genome	haploid	3
GCF_022220625.1	Bacillus anthracis	1392	BUL 16	Complete Genome	haploid	3
GCF_022220645.1	Bacillus anthracis	1392	A87	Complete Genome	haploid	3
GCF_022220665.1	Bacillus anthracis	1392	4-IZSLT	Complete Genome	haploid	3
GCF_022220685.1	Bacillus anthracis	1392	Tyrol 3520	Complete Genome	haploid	3
GCF_022220905.1	Bacillus anthracis	1392	BUL 14	Complete Genome	haploid	1
GCF_022220925.1	Bacillus anthracis	1392	A193a	Complete Genome	haploid	3
GCF_022220945.1	Bacillus anthracis	1392	A166	Complete Genome	haploid	3
GCF_022220965.1	Bacillus anthracis	1392	A168	Complete Genome	haploid	3
GCF_022220985.1	Bacillus anthracis	1392	A178	Complete Genome	haploid	3
GCF_022221005.1	Bacillus anthracis	1392	BUL 32	Complete Genome	haploid	2
GCF_022221025.1	Bacillus anthracis	1392	BUL 12	Complete Genome	haploid	3
GCF_022221045.1	Bacillus anthracis	1392	A27	Complete Genome	haploid	3
GCF_022221065.1	Bacillus anthracis	1392	A49	Complete Genome	haploid	3
GCF_022221105.1	Bacillus anthracis	1392	Pasteur	Complete Genome	haploid	2
GCF_022221125.1	Bacillus anthracis	1392	UR-1	Complete Genome	haploid	3
GCF_022221145.1	Bacillus anthracis	1392	188678-1	Complete Genome	haploid	3
GCF_022221165.1	Bacillus anthracis	1392	Tangail-4/2	Complete Genome	haploid	3
GCF_022221185.1	Bacillus anthracis	1392	A3783	Complete Genome	haploid	3
GCF_022221205.1	Bacillus anthracis	1392	3-IZSLT	Complete Genome	haploid	3
GCF_022221225.1	Bacillus anthracis	1392	Pollino 3734	Complete Genome	haploid	3
GCF_022221245.1	Bacillus anthracis	1392	A1074	Complete Genome	haploid	3
GCF_022221265.1	Bacillus anthracis	1392	A0777	Complete Genome	haploid	3
GCF_022221285.1	Bacillus anthracis	1392	SA020	Complete Genome	haploid	3
GCF_022221305.1	Bacillus anthracis	1392	AF039	Complete Genome	haploid	3
GCF_022221325.1	Bacillus anthracis	1392	A159	Complete Genome	haploid	3
GCF_022221345.1	Bacillus anthracis	1392	Vollum	Complete Genome	haploid	3
GCF_023824055.1	Bacillus anthracis	1392	CMF9	Complete Genome	haploid	4
GCF_024396775.1	Bacillus anthracis	1392	CVCC40202	Complete Genome	haploid	3
GCF_024396795.1	Bacillus anthracis	1392	CVCC40205	Complete Genome	haploid	2
GCF_026559715.1	Bacillus anthracis	1392	7702	Complete Genome	haploid	2
GCF_026559735.1	Bacillus anthracis	1392	BA749	Complete Genome	haploid	2
GCF_026559755.1	Bacillus anthracis	1392	BA754	Complete Genome	haploid	2
